phrase,english,pinyin,comments
你好,hello,nǐ hǎo,
再見,goodbye,zài jiàn,
早安,good morning,zǎo ān,
晚安,good evening,wǎn ān,
午安,good afternoon,wǔ ān,
不好意思,"excuse me, sorry",bù hǎo yì sī,
沒問題,no problem,méi wèn tí,
謝謝,thank you,xiè xiè,
請問,excuse me (to ask a question),qǐng wèn,
走吧,let's go,zǒu ba,
請,please,qǐng,
我不知道,I don't know,wǒ bù zhī dào,
等一下,wait a bit,děng děng,
小心,be careful,xiǎo xīn,
為什麼,why,wèi shí me,
加油,let's go! (literally: add oil),jiā yóu,
對不起,sorry,dùi bù qǐ,
沒關係,it's okay (used like: no problem),méi guān xì,
可以嗎,can I? is it okay?,kě yǐ ma,
不可以,"not able, cannot",bù kě yǐ,
快點,hurry up,kuài diǎn,
等等,wait up,děng děng,
告訴你,I'll tell you,gào sù nǐ,
讓我,let me,ràng wǒ,
我來了,I'm coming,wǒ lái le,
我不明白,I don't understand,wǒ bù míng bái,
不客氣,you're welcome,bù kè qì,
對對對對,yes yes yes yes,dùi dùi dùi dùi,
不錯,not bad,bù cuò,
同意,agree,tóng yì,
