phrase,english,pinyin,color,comments
對於,regarding; concerning,duì yú,dark-blue,
關於,about; regarding,guān yú,cyan,
除了,except; besides,chú le,yellow,
因為,because,yīn wèi,dark-grey,
所以,so; therefore,suǒ yǐ,cyan,
跟著,following,gēn zhe,light-blue,
嚮,towards,xiàng,dark-red,
往,towards; to,wǎng,dark-blue,
一直,continuously;yì zhí,yī zhí,red,
非常,very; extremely,fēi cháng,lime,
比較,comparatively,bǐ jiào,light-blue,
特別,especially,tè bié,blue,
隻,only,zhǐ,purple,
剛,just,gāng,hot-pink,
已,already,yǐ,light-grey,
再,again,zài,light-blue,
就,then; right away,jiù,dark-blue,
纔,only then,cái,blue,
通常,usually,tōng cháng,lime,
偶爾,occasionally,ǒu ěr,pink,
因該,therefore,yīn gāi,blue,
看起來,Looks,kàn qǐ lái,yellow,
吧,emphatic final particle,ba,orange,
比,"to compare, liken; comparison; than",bǐ,light-blue,
真的,true,zhēn de,brown,
還有,besides,huán yǒu,cyan,
還要,Also,huán yào,red,
第一,first,dì yī,white,
別,don't,bié,green,
不要,don't,bù yào,brown,
