phrase,english,pinyin,comments
找,search,zhǎo,
展示,show,zhǎn shì,
演,perform,yǎn,
玩,play,wán,
休息,rest,xīu xī,
旅行,travel,lv̌ xíng,
參觀,visit,cān guān,
參加,attend,cān jiā,
組織,organize,zǔ zhī,
計劃,plan,jì huà,
預訂,book,yù dìng,
預約,make appointment,yù yuē,
提醒,remind,tí xǐng,
報告,report,bào gào,
評論,comment,píng lùn,
解釋,explain,jiě shì,
描述,describe,miáo shù,
錶達,express,biǎo dá,
代錶,represent,dài biǎo,
管理,manage,guǎn lǐ,
領導,lead,lǐng dǎo,
控製,control,kòng zhì,
監督,supervise,jiān dū,
檢查,check,jiǎn chá,
測試,test,cè shì,
評估,evaluate,píng gū,
審查,review,shěn chá,
批準,approve,pī zhǔn,
保存,save,bǎo cún,
刪除,delete,shān chú,
