phrase,english,pinyin,color,comments
搖,shake,yáo,red,
晃,rock,huǎng,yellow,
轉動,rotate,zhuǎn dòng,dark-red,
翻轉,flip,fān zhuǎn,red,
摺,fold,zhé,hot-pink,
展開,unfold,zhǎn kāi,hot-pink,
撕,tear,sī,green,
縫,sew,féng,orange,
織,knit,zhī,dark-blue,
粘,glue,nián,light-grey,
貼,stick,tiē,dark-red,
雕刻,carve,diāo kè,orange,
塑造,shape,sù zào,light-grey,
製作,make,zhì zuò,light-blue,
創造,create,chuàng zào,blue,
設計,design,shè jì,cyan,
發明,invent,fā míng,light-grey,
開發,develop,kāi fā,light-grey,
研究,research,yán jīu,teal,
探索,explore,tàn suǒ,white,
發現,discover,fā xiàn,dark-blue,
調查,investigate,diào chá,grey,
分析,analyze,fēn xī,teal,
計算,calculate,jì suàn,red,
測量,measure,cè liàng,dark-blue,
估計,estimate,gū jì,orange,
預測,predict,yù cè,brown,
準備,prepare,zhǔn bèi,dark-blue,
完成,complete,wán chéng,orange,
實現,achieve,shí xiàn,orange,
