phrase,english,pinyin,comments
下去,go down to,xià qù,
迴頭,"restart, turn back",húi tóu,
迴覆,Reply,húi fù,
碰,"collide, bump into",pèng,
碰頭,meet up,pèng tóu,
碰杯,clink glasses,pèng bēi,
討論,discuss,tǎo lùn,
約,make an appointment,yuē,
得了,"obtained, picked up (for awards and colds)",dé le,
安排,arrange,ān pái,
談,talk,tán,
聊天,chat,liáo tiān,
購,"buy, purchase; hire",gòu,
評分,"score, rating",píng fēn,
批評,criticize,pī píng,
迴答,"answer, reply",húi dá,
練習,practice,liàn xí,
聯繫,"contact, connect",lián xì,
翻譯,translate,fān yì,
提到,mention,tí dào,
出了,come out of,chū le,
算,consider,suàn,
邀請,invite,yāo qǐng,
受到,receive,shòu dào,
拷貝,copy,kǎo bèi,
轉發,Forward,zhuǎn fā,
存檔,"save, archive",cún dàng,
聯繫方式,Contact,lián xì fāng shì,
通知,"notification, notify",tōng zhī,
迴復,reply,húi fù,
