phrase,english,pinyin,color,comments
失去,lose,shī qù,dark-blue,
贏,win,yíng,white,
輸,lose,shū,purple,
比賽,compete,bǐ sài,grey,
挑戰,challenge,tiāo zhàn,dark-red,
冒險,adventure,mào xiǎn,green,
失敗,fail,shī bài,grey,
成功,succeed,chéng gōng,cyan,
訓練,train,xùn liàn,blue,
復習,review,fù xí,white,
考試,test,kǎo shì,teal,
考察,examine,kǎo chá,grey,
總結,summarize,zǒng jié,purple,
歸納,conclude,gūi nà,orange,
推斷,infer,tūi duàn,light-blue,
證明,prove,zhèng míng,white,
陳述,state,chén shù,light-blue,
製,"make, manufacture; produce",zhì,teal,
可以,can,kě yǐ,pink,
沒有,not have,méi yǒu,orange,
不是,is not,bù shì,cyan,
會,will,hùi,green,
是,is,shì,light-grey,
有,have,yǒu,orange,
去,go,qù,hot-pink,
來,come,lái,brown,
建造,build,jiàn zào,teal,
破壞,destroy,pò huài,light-blue,
保護,protect,bǎo hù,grey,
洗,wash,xǐ,black,
