hanzi,trad,simp,pinyin,toneless,tone,zhuyin
萫,萫,萫,xiàng,xiang,4,ㄒㄧㄤ
䙒,䙒,䙒,xù,xu,4,ㄒㄩ
㕐,㕐,㕐,xiě,xie,3,ㄒㄧㄝ
賮,賮,賮,jìn,jin,4,ㄐㄧㄣ
牭,牭,牭,sì,si,4,ㄙ
佝,佝,佝,kòu,kou,4,ㄎㄡ
䒱,䒱,䒱,䒱,䒱,,
䩇,䩇,䩇,䩇,䩇,,
䮬,䮬,䮬,mò,mo,4,ㄇㄛ
炱,炱,炱,tái,tai,2,ㄊㄞ
女,女,女,nǚ,nü,3,ㄋㄩ
㜗,㜗,㜗,cǎn,can,3,ㄘㄢ
鳕,鱈,鳕,xuě,xue,3,ㄒㄩㄝ
惆,惆,惆,chóu,chou,2,ㄔㄡ
嵒,嵒,嵒,yán,yan,2,ㄧㄢ
镎,鎿,镎,ná,na,2,ㄋㄚ
凍,凍,冻,dòng,dong,4,ㄉㄨㄥ
栀,梔,栀,zhī,zhi,1,ㄓ
㲣,㲣,㲣,㲣,㲣,,
聂,聶,聂,niè,nie,4,ㄋㄧㄝ
毨,毨,毨,xiǎn,xian,3,ㄒㄧㄢ
㯳,㯳,㯳,qíng,qing,2,ㄑㄧㄥ
蚀,蝕,蚀,shí,shi,2,ㄕ
荷,荷,荷,hé,he,2,ㄏㄜ
鵚,鵚,鵚,tú,tu,2,ㄊㄨ
㿜,㿜,㿜,biě,bie,3,ㄅㄧㄝ
欨,欨,欨,xū,xu,1,ㄒㄩ
䠶,䠶,䠶,shè,she,4,ㄕㄜ
㮧,㮧,㮧,㮧,㮧,,
鄠,鄠,鄠,hù,hu,4,ㄏㄨ
澮,澮,浍,kuài,kuai,4,ㄎㄨㄞ
䮋,䮋,䮋,lì,li,4,ㄌㄧ
䯥,䯥,䯥,àn,an,4,ㄢ
㯈,㯈,㯈,sù,su,4,ㄙㄨ
褴,襤,褴,bǎo,bao,3,ㄅㄠ
䍆,䍆,䍆,zhù,zhu,4,ㄓㄨ
蝯,蝯,蝯,yuán,yuan,2,ㄩㄢ
窹,窹,窹,wù,wu,4,ㄨ
隍,隍,隍,huáng,huang,2,ㄏㄨㄤ
琧,琧,琧,è,e,4,ㄜ
㸊,㸊,㸊,là,la,4,ㄌㄚ
筐,筐,筐,kuāng,kuang,1,ㄎㄨㄤ
頤,頤,颐,yí,yi,2,ㄧ
禦,禦,御,yù,yu,4,ㄩ
戟,戟,戟,jǐ,ji,3,ㄐㄧ
衾,衾,衾,qīn,qin,1,ㄑㄧㄣ
它,它,它,tā,ta,1,ㄊㄚ
滆,滆,滆,hé,he,2,ㄏㄜ
埦,埦,埦,wǎn,wan,3,ㄨㄢ
妑,妑,妑,pā,pa,1,ㄆㄚ
司,司,司,sī,si,1,ㄙ
㜼,㜼,㜼,zhí,zhi,2,ㄓ
㷮,㷮,㷮,㷮,㷮,,
羈,羈,羁,jī,ji,1,ㄐㄧ
戼,戼,戼,mǎo,mao,3,ㄇㄠ
堠,堠,堠,hòu,hou,4,ㄏㄡ
繂,繂,繂,shuài,shuai,4,ㄕㄨㄞ
灄,灄,滠,shè,she,4,ㄕㄜ
蒤,蒤,蒤,tú,tu,2,ㄊㄨ
狳,狳,狳,yú,yu,2,ㄩ
錎,錎,錎,xiàn,xian,4,ㄒㄧㄢ
莩,莩,莩,fú,fu,2,ㄈㄨ
殟,殟,殟,wēn,wen,1,ㄨㄣ
鸓,鸓,鸓,lěi,lei,3,ㄌㄟ
鍄,鍄,鍄,liàng,liang,4,ㄌㄧㄤ
