hanzi,trad,simp,pinyin,toneless,tone,zhuyin
准,準,准,zhǔn,zhun,3,ㄓㄨㄣ
桓,桓,桓,huán,huan,2,ㄏㄨㄢ
詢,詢,询,xún,xun,2,ㄒㄩㄣ
凗,凗,凗,cúi,cui,2,ㄘㄨㄟ
䎢,䎢,䎢,qǐ,qi,3,ㄑㄧ
旚,旚,旚,piāo,piao,1,ㄆㄧㄠ
岧,岧,岧,tiáo,tiao,2,ㄊㄧㄠ
嚳,嚳,喾,kù,ku,4,ㄎㄨ
䯕,䯕,䯕,䯕,䯕,,
趄,趄,趄,jū,ju,1,ㄐㄩ
䋤,䋤,䋤,yào,yao,4,ㄧㄠ
頋,頋,頋,gù,gu,4,ㄍㄨ
孴,孴,孴,nǐ,ni,3,ㄋㄧ
躑,躑,踯,zhí,zhi,2,ㄓ
瀟,瀟,潇,xiāo,xiao,1,ㄒㄧㄠ
陮,陮,陮,dǔi,dui,3,ㄉㄨㄟ
拻,拻,拻,hūi,hui,1,ㄏㄨㄟ
嶼,嶼,屿,yǔ,yu,3,ㄩ
浮,浮,浮,fú,fu,2,ㄈㄨ
㢦,㢦,㢦,㢦,㢦,,
羵,羵,羵,fěn,fen,3,ㄈㄣ
嬲,嬲,嬲,niǎo,niao,3,ㄋㄧㄠ
劬,劬,劬,qú,qu,2,ㄑㄩ
垙,垙,垙,guāng,guang,1,ㄍㄨㄤ
罀,罀,罀,罀,罀,,
轘,轘,轘,huàn,huan,4,ㄏㄨㄢ
悄,悄,悄,qiǎo,qiao,3,ㄑㄧㄠ
鐮,鐮,镰,lián,lian,2,ㄌㄧㄢ
卲,卲,卲,shào,shao,4,ㄕㄠ
埋,埋,埋,mái,mai,2,ㄇㄞ
萣,萣,萣,萣,萣,,
赡,贍,赡,shàn,shan,4,ㄕㄢ
烦,煩,烦,fán,fan,2,ㄈㄢ
晎,晎,晎,hǒng,hong,3,ㄏㄨㄥ
揀,揀,拣,jiǎn,jian,3,ㄐㄧㄢ
㖽,㖽,㖽,zé,ze,2,ㄗㄜ
笊,笊,笊,zhào,zhao,4,ㄓㄠ
釈,釈,釈,shì,shi,4,ㄕ
䗴,䗴,䗴,tíng,ting,2,ㄊㄧㄥ
炙,炙,炙,zhì,zhi,4,ㄓ
掋,掋,掋,dǐ,di,3,ㄉㄧ
辅,輔,辅,fǔ,fu,3,ㄈㄨ
蠕,蠕,蠕,rú,ru,2,ㄖㄨ
皺,皺,皱,zhòu,zhou,4,ㄓㄡ
詾,詾,詾,xiōng,xiong,1,ㄒㄩㄥ
躽,躽,躽,yǎn,yan,3,ㄧㄢ
孞,孞,孞,xìn,xin,4,ㄒㄧㄣ
㰡,㰡,㰡,xiè,xie,4,ㄒㄧㄝ
琸,琸,琸,zhuó,zhuo,2,ㄓㄨㄛ
瑜,瑜,瑜,yú,yu,2,ㄩ
鐈,鐈,鐈,qiáo,qiao,2,ㄑㄧㄠ
筡,筡,筡,tú,tu,2,ㄊㄨ
迾,迾,迾,liè,lie,4,ㄌㄧㄝ
邧,邧,邧,yuán,yuan,2,ㄩㄢ
㵵,㵵,㵵,zòu,zou,4,ㄗㄡ
䐖,䐖,䐖,yí,yi,2,ㄧ
俰,俰,俰,hè,he,4,ㄏㄜ
狱,獄,狱,yù,yu,4,ㄩ
鲘,鮜,鲘,hòu,hou,4,ㄏㄡ
輐,輐,輐,huǎn,huan,3,ㄏㄨㄢ
曧,曧,曧,róng,rong,2,ㄖㄨㄥ
卅,卅,卅,sà,sa,4,ㄙㄚ
鮶,鮶,鲪,jūn,jun,1,ㄐㄩㄣ
舠,舠,舠,dāo,dao,1,ㄉㄠ
倉,倉,仓,cāng,cang,1,ㄘㄤ
霶,霶,霶,páng,pang,2,ㄆㄤ
巶,巶,巶,zhāo,zhao,1,ㄓㄠ
舟,舟,舟,zhōu,zhou,1,ㄓㄡ
㹨,㹨,㹨,yòu,you,4,ㄧㄡ
踧,踧,踧,cù,cu,4,ㄘㄨ
㚌,㚌,㚌,huà,hua,4,ㄏㄨㄚ
燴,燴,烩,hùi,hui,4,ㄏㄨㄟ
㑀,㑀,㑀,㑀,㑀,,
㤕,㤕,㤕,chù,chu,4,ㄔㄨ
疜,疜,疜,xià,xia,4,ㄒㄧㄚ
㬌,㬌,㬌,jìng,jing,4,ㄐㄧㄥ
嬒,嬒,嬒,wèi,wei,4,ㄨㄟ
硽,硽,硽,yǎn,yan,3,ㄧㄢ
焤,焤,焤,fǔ,fu,3,ㄈㄨ
譛,譛,譛,zèn,zen,4,ㄗㄣ
门,門,门,mén,men,2,ㄇㄣ
䀇,䀇,䀇,gǔ,gu,3,ㄍㄨ
勐,猛,勐,měng,meng,3,ㄇㄥ
麟,麟,麟,lín,lin,2,ㄌㄧㄣ
䑄,䑄,䑄,pì,pi,4,ㄆㄧ
觹,觹,觹,xī,xi,1,ㄒㄧ
畾,畾,畾,léi,lei,2,ㄌㄟ
瑰,瑰,瑰,gūi,gui,1,ㄍㄨㄟ
緩,緩,缓,huǎn,huan,3,ㄏㄨㄢ
㚺,㚺,㚺,yùn,yun,4,ㄩㄣ
㪜,㪜,㪜,chuǎi,chuai,3,ㄔㄨㄞ
㳅,㳅,㳅,jiǎo,jiao,3,ㄐㄧㄠ
擴,擴,扩,kuò,kuo,4,ㄎㄨㄛ
鏧,鏧,鏧,lóng,long,2,ㄌㄨㄥ
韄,韄,韄,huò,huo,4,ㄏㄨㄛ
荌,荌,荌,àn,an,4,ㄢ
鴒,鴒,鸰,líng,ling,2,ㄌㄧㄥ
權,權,权,quán,quan,2,ㄑㄩㄢ
蛷,蛷,蛷,qíu,qiu,2,ㄑㄧㄡ
䬛,䬛,䬛,bì,bi,4,ㄅㄧ
䲛,䲛,䲛,méng,meng,2,ㄇㄥ
鹊,鵲,鹊,què,que,4,ㄑㄩㄝ
耽,耽,耽,dān,dan,1,ㄉㄢ
黗,黗,黗,tuǎn,tuan,3,ㄊㄨㄢ
㰱,㰱,㰱,shà,sha,4,ㄕㄚ
賓,賓,宾,bīn,bin,1,ㄅㄧㄣ
黔,黔,黔,qián,qian,2,ㄑㄧㄢ
扄,扄,扄,shǎng,shang,3,ㄕㄤ
龎,龎,龎,páng,pang,2,ㄆㄤ
姴,姴,姴,liè,lie,4,ㄌㄧㄝ
㠲,㠲,㠲,bǐ,bi,3,ㄅㄧ
䌫,䌫,䌫,lǎn,lan,3,ㄌㄢ
陻,陻,陻,yīn,yin,1,ㄧㄣ
㳂,㳂,㳂,yán,yan,2,ㄧㄢ
鬞,鬞,鬞,nóng,nong,2,ㄋㄨㄥ
帍,帍,帍,hù,hu,4,ㄏㄨ
䒩,䒩,䒩,hé,he,2,ㄏㄜ
咥,咥,咥,xì,xi,4,ㄒㄧ
陡,陡,陡,dǒu,dou,3,ㄉㄡ
鰺,鰺,鰺,sāo,sao,1,ㄙㄠ
蘫,蘫,蘫,lán,lan,2,ㄌㄢ
尓,尓,尓,ěr,er,3,ㄦ
㹽,㹽,㹽,chǎn,chan,3,ㄔㄢ
劒,劒,劒,jiàn,jian,4,ㄐㄧㄢ
泪,淚,泪,lèi,lei,4,ㄌㄟ
紁,紁,紁,chà,cha,4,ㄔㄚ
梒,梒,梒,hán,han,2,ㄏㄢ
䀣,䀣,䀣,bì,bi,4,ㄅㄧ
搧,搧,搧,shān,shan,1,ㄕㄢ
怗,怗,怗,tiē,tie,1,ㄊㄧㄝ
䡐,䡐,䡐,tuó,tuo,2,ㄊㄨㄛ
诽,誹,诽,fěi,fei,3,ㄈㄟ
㻅,㻅,㻅,hùi,hui,4,ㄏㄨㄟ
皔,皔,皔,hàn,han,4,ㄏㄢ
㠓,㠓,㠓,méng,meng,2,ㄇㄥ
厫,厫,厫,áo,ao,2,ㄠ
破,破,破,pò,po,4,ㄆㄛ
姘,姘,姘,pīn,pin,1,ㄆㄧㄣ
㟟,㟟,㟟,xiàng,xiang,4,ㄒㄧㄤ
裣,襝,裣,liàn,lian,4,ㄌㄧㄢ
簎,簎,簎,zhà,zha,4,ㄓㄚ
崉,崉,崉,tà,ta,4,ㄊㄚ
經,經,经,jīng,jing,1,ㄐㄧㄥ
詴,詴,詴,wēi,wei,1,ㄨㄟ
港,港,港,gǎng,gang,3,ㄍㄤ
鷥,鷥,鸶,sī,si,1,ㄙ
㔰,㔰,㔰,héng,heng,2,ㄏㄥ
精,精,精,jīng,jing,1,ㄐㄧㄥ
枒,枒,枒,yá,ya,2,ㄧㄚ
糚,糚,糚,zhuāng,zhuang,1,ㄓㄨㄤ
焮,焮,焮,xìn,xin,4,ㄒㄧㄣ
羚,羚,羚,líng,ling,2,ㄌㄧㄥ
铭,銘,铭,míng,ming,2,ㄇㄧㄥ
萀,萀,萀,hǔ,hu,3,ㄏㄨ
酑,酑,酑,yǔ,yu,3,ㄩ
褧,褧,褧,jiǒng,jiong,3,ㄐㄩㄥ
鹣,鶼,鹣,jiān,jian,1,ㄐㄧㄢ
郷,郷,郷,xiāng,xiang,1,ㄒㄧㄤ
矍,矍,矍,jué,jue,2,ㄐㄩㄝ
十,十,十,shí,shi,2,ㄕ
鎇,鎇,镅,méi,mei,2,ㄇㄟ
㑍,㑍,㑍,lěi,lei,3,ㄌㄟ
譽,譽,誉,yù,yu,4,ㄩ
恞,恞,恞,yí,yi,2,ㄧ
軔,軔,轫,rèn,ren,4,ㄖㄣ
工,工,工,gōng,gong,1,ㄍㄨㄥ
䆫,䆫,䆫,chuāng,chuang,1,ㄔㄨㄤ
傻,傻,傻,shǎ,sha,3,ㄕㄚ
蹋,蹋,蹋,tà,ta,4,ㄊㄚ
怱,怱,怱,cōng,cong,1,ㄘㄨㄥ
间,間,间,jiān,jian,1,ㄐㄧㄢ
淹,淹,淹,yān,yan,1,ㄧㄢ
腜,腜,腜,méi,mei,2,ㄇㄟ
嬸,嬸,婶,shěn,shen,3,ㄕㄣ
俾,俾,俾,bǐ,bi,3,ㄅㄧ
閲,閲,閲,yuè,yue,4,ㄩㄝ
㳰,㳰,㳰,㳰,㳰,,
宱,宱,宱,zhà,zha,4,ㄓㄚ
辠,辠,辠,zùi,zui,4,ㄗㄨㄟ
䕗,䕗,䕗,bì,bi,4,ㄅㄧ
幷,幷,幷,bìng,bing,4,ㄅㄧㄥ
䘧,䘧,䘧,䘧,䘧,,
汀,汀,汀,tīng,ting,1,ㄊㄧㄥ
煏,煏,煏,bì,bi,4,ㄅㄧ
䲖,䲖,䲖,chóu,chou,2,ㄔㄡ
枨,棖,枨,chéng,cheng,2,ㄔㄥ
秗,秗,秗,yù,yu,4,ㄩ
購,購,购,gòu,gou,4,ㄍㄡ
骝,騮,骝,líu,liu,2,ㄌㄧㄡ
䦟,䦟,䦷,chuài,chuai,4,ㄔㄨㄞ
䭔,䭔,䭔,䭔,䭔,,
邶,邶,邶,bèi,bei,4,ㄅㄟ
鳱,鳱,鳱,gān,gan,1,ㄍㄢ
襠,襠,裆,dāng,dang,1,ㄉㄤ
傆,傆,傆,yuàn,yuan,4,ㄩㄢ
黼,黼,黼,fǔ,fu,3,ㄈㄨ
糛,糛,糛,táng,tang,2,ㄊㄤ
㽨,㽨,㽨,cuó,cuo,2,ㄘㄨㄛ
縎,縎,縎,gǔ,gu,3,ㄍㄨ
唵,唵,唵,ǎn,an,3,ㄢ
鈱,鈱,鈱,mín,min,2,ㄇㄧㄣ
杮,杮,杮,fèi,fei,4,ㄈㄟ
㿦,㿦,㿦,nìng,ning,4,ㄋㄧㄥ
操,操,操,cāo,cao,1,ㄘㄠ
鐞,鐞,鐞,nòu,nou,4,ㄋㄡ
穁,穁,穁,róng,rong,2,ㄖㄨㄥ
掜,掜,掜,yǐ,yi,3,ㄧ
六,六,六,lìu,liu,4,ㄌㄧㄡ
躏,躪,躏,lìn,lin,4,ㄌㄧㄣ
㽫,㽫,㽫,yǒng,yong,3,ㄩㄥ
玻,玻,玻,bō,bo,1,ㄅㄛ
距,距,距,jù,ju,4,ㄐㄩ
㾣,㾣,㾣,㾣,㾣,,
䛫,䛫,䛫,zhèng,zheng,4,ㄓㄥ
灻,灻,灻,chì,chi,4,ㄔ
豼,豼,豼,pí,pi,2,ㄆㄧ
谉,讅,谉,shěn,shen,3,ㄕㄣ
塽,塽,塽,shuǎng,shuang,3,ㄕㄨㄤ
啫,啫,啫,zhě,zhe,3,ㄓㄜ
夓,夓,夓,xià,xia,4,ㄒㄧㄚ
煭,煭,煭,liè,lie,4,ㄌㄧㄝ
禡,禡,禡,mà,ma,4,ㄇㄚ
仿,仿,仿,fǎng,fang,3,ㄈㄤ
釮,釮,釮,qí,qi,2,ㄑㄧ
绡,綃,绡,xiāo,xiao,1,ㄒㄧㄠ
㥈,㥈,㥈,dié,die,2,ㄉㄧㄝ
㻼,㻼,㻼,㻼,㻼,,
駁,駁,驳,bó,bo,2,ㄅㄛ
軇,軇,軇,dào,dao,4,ㄉㄠ
鰸,鰸,鰸,qū,qu,1,ㄑㄩ
倆,倆,俩,liǎ,lia,3,ㄌㄧㄚ
㿥,㿥,㿥,hú,hu,2,ㄏㄨ
鞪,鞪,鞪,mù,mu,4,ㄇㄨ
叝,叝,叝,gào,gao,4,ㄍㄠ
䂅,䂅,䂅,䂅,䂅,,
㸛,㸛,㸛,sháo,shao,2,ㄕㄠ
觲,觲,觲,xīng,xing,1,ㄒㄧㄥ
隝,隝,隝,dǎo,dao,3,ㄉㄠ
㜂,㜂,㜂,㜂,㜂,,
㟜,㟜,㟜,mí,mi,2,ㄇㄧ
勪,勪,勪,jué,jue,2,ㄐㄩㄝ
䞎,䞎,䞎,䞎,䞎,,
䵖,䵖,䵖,jiàn,jian,4,ㄐㄧㄢ
躿,躿,躿,kāng,kang,1,ㄎㄤ
㚟,㚟,㚟,chuò,chuo,4,ㄔㄨㄛ
嵕,嵕,嵕,zōng,zong,1,ㄗㄨㄥ
獞,獞,獞,tóng,tong,2,ㄊㄨㄥ
㿖,㿖,㿖,lú,lu,2,ㄌㄨ
倁,倁,倁,chí,chi,2,ㄔ
洕,洕,洕,yīn,yin,1,ㄧㄣ
廝,廝,厮,sī,si,1,ㄙ
䚕,䚕,䚕,lì,li,4,ㄌㄧ
梨,梨,梨,lí,li,2,ㄌㄧ
麭,麭,麭,pào,pao,4,ㄆㄠ
䚵,䚵,䚵,tǎo,tao,3,ㄊㄠ
雠,讎,雠,chóu,chou,2,ㄔㄡ
筻,筻,筻,gàng,gang,4,ㄍㄤ
婄,婄,婄,pǒu,pou,3,ㄆㄡ
鼁,鼁,鼁,qù,qu,4,ㄑㄩ
䠐,䠐,䠐,qù,qu,4,ㄑㄩ
䂰,䂰,䂰,là,la,4,ㄌㄚ
䏴,䏴,䏴,shào,shao,4,ㄕㄠ
袡,袡,袡,rán,ran,2,ㄖㄢ
方,方,方,fāng,fang,1,ㄈㄤ
豁,豁,豁,huō,huo,1,ㄏㄨㄛ
㾿,㾿,㾿,láng,lang,2,ㄌㄤ
锕,錒,锕,ā,a,1,ㄚ
昬,昬,昬,hūn,hun,1,ㄏㄨㄣ
圆,圓,圆,yuán,yuan,2,ㄩㄢ
呏,呏,呏,shēng,sheng,1,ㄕㄥ
俦,儔,俦,chóu,chou,2,ㄔㄡ
濤,濤,涛,tāo,tao,1,ㄊㄠ
跄,蹌,跄,qiāng,qiang,1,ㄑㄧㄤ
憗,憗,憗,yìn,yin,4,ㄧㄣ
珮,珮,珮,pèi,pei,4,ㄆㄟ
蓶,蓶,蓶,wěi,wei,3,ㄨㄟ
聓,聓,聓,聓,聓,,
樦,樦,樦,zhù,zhu,4,ㄓㄨ
虜,虜,虏,lǔ,lu,3,ㄌㄨ
㹏,㹏,㹏,jǐn,jin,3,ㄐㄧㄣ
缝,縫,缝,féng,feng,2,ㄈㄥ
駶,駶,駶,jú,ju,2,ㄐㄩ
䛝,䛝,䛝,náo,nao,2,ㄋㄠ
昜,昜,昜,yáng,yang,2,ㄧㄤ
請,請,请,qǐng,qing,3,ㄑㄧㄥ
㮺,㮺,㮺,běn,ben,3,ㄅㄣ
钮,鈕,钮,nǐu,niu,3,ㄋㄧㄡ
䈥,䈥,䈥,䈥,䈥,,
颐,頤,颐,yí,yi,2,ㄧ
㮢,㮢,㮢,hóu,hou,2,ㄏㄡ
墪,墪,墪,dūn,dun,1,ㄉㄨㄣ
汾,汾,汾,fén,fen,2,ㄈㄣ
剾,剾,剾,kōu,kou,1,ㄎㄡ
橦,橦,橦,chuáng,chuang,2,ㄔㄨㄤ
橸,橸,橸,橸,橸,,
馿,馿,馿,lǘ,lü,2,ㄌㄩ
巸,巸,巸,yí,yi,2,ㄧ
柬,柬,柬,jiǎn,jian,3,ㄐㄧㄢ
諭,諭,谕,yù,yu,4,ㄩ
曽,曽,曽,cēng,ceng,1,ㄘㄥ
灜,灜,灜,灜,灜,,
棣,棣,棣,dì,di,4,ㄉㄧ
倩,倩,倩,qiàn,qian,4,ㄑㄧㄢ
熀,熀,熀,huǎng,huang,3,ㄏㄨㄤ
蒓,蒓,莼,chún,chun,2,ㄔㄨㄣ
壁,壁,壁,bì,bi,4,ㄅㄧ
葏,葏,葏,jīng,jing,1,ㄐㄧㄥ
䮔,䮔,䮔,zǔi,zui,3,ㄗㄨㄟ
䘰,䘰,䘰,䘰,䘰,,
脾,脾,脾,pí,pi,2,ㄆㄧ
妧,妧,妧,yuán,yuan,2,ㄩㄢ
竉,竉,竉,lǒng,long,3,ㄌㄨㄥ
㯾,㯾,㯾,㯾,㯾,,
䙐,䙐,䙐,kè,ke,4,ㄎㄜ
簢,簢,簢,mǐn,min,3,ㄇㄧㄣ
㚡,㚡,㚡,jǐ,ji,3,ㄐㄧ
妕,妕,妕,zhòng,zhong,4,ㄓㄨㄥ
焐,焐,焐,wù,wu,4,ㄨ
㘴,㘴,㘴,zuò,zuo,4,ㄗㄨㄛ
咝,噝,咝,sī,si,1,ㄙ
晉,晉,晋,jìn,jin,4,ㄐㄧㄣ
殈,殈,殈,xù,xu,4,ㄒㄩ
贃,贃,贃,zhuàn,zhuan,4,ㄓㄨㄢ
銓,銓,铨,quán,quan,2,ㄑㄩㄢ
搡,搡,搡,sǎng,sang,3,ㄙㄤ
媽,媽,妈,mā,ma,1,ㄇㄚ
啻,啻,啻,chì,chi,4,ㄔ
葇,葇,葇,róu,rou,2,ㄖㄡ
炸,炸,炸,zhà,zha,4,ㄓㄚ
蟀,蟀,蟀,shuài,shuai,4,ㄕㄨㄞ
甥,甥,甥,shēng,sheng,1,ㄕㄥ
憀,憀,憀,liáo,liao,2,ㄌㄧㄠ
瓒,瓚,瓒,zàn,zan,4,ㄗㄢ
䧁,䧁,䧁,chù,chu,4,ㄔㄨ
嶐,嶐,嶐,lóng,long,2,ㄌㄨㄥ
畚,畚,畚,běn,ben,3,ㄅㄣ
䧢,䧢,䧢,䧢,䧢,,
鮋,鮋,鲉,yóu,you,2,ㄧㄡ
葵,葵,葵,kúi,kui,2,ㄎㄨㄟ
䒺,䒺,䒺,jǐn,jin,3,ㄐㄧㄣ
䶟,䶟,䶟,xiàn,xian,4,ㄒㄧㄢ
松,鬆,松,sōng,song,1,ㄙㄨㄥ
㡞,㡞,㡞,lěi,lei,3,ㄌㄟ
囦,囦,囦,yuān,yuan,1,ㄩㄢ
㩴,㩴,㩴,jú,ju,2,ㄐㄩ
睙,睙,睙,liè,lie,4,ㄌㄧㄝ
徍,徍,徍,wā,wa,1,ㄨㄚ
彬,彬,彬,bīn,bin,1,ㄅㄧㄣ
摵,摵,摵,suǒ,suo,3,ㄙㄨㄛ
喲,喲,哟,yo,yo,5,ㄧㄛ
迣,迣,迣,zhì,zhi,4,ㄓ
坁,坁,坁,zhǐ,zhi,3,ㄓ
粖,粖,粖,mò,mo,4,ㄇㄛ
鲚,鱭,鲚,jì,ji,4,ㄐㄧ
帋,帋,帋,zhǐ,zhi,3,ㄓ
朂,朂,朂,xù,xu,4,ㄒㄩ
槪,槪,槪,gài,gai,4,ㄍㄞ
熘,溜,熘,līu,liu,1,ㄌㄧㄡ
鼊,鼊,鼊,bì,bi,4,ㄅㄧ
矑,矑,矑,lú,lu,2,ㄌㄨ
㱉,㱉,㱉,yè,ye,4,ㄧㄝ
䦤,䦤,䦤,chuài,chuai,4,ㄔㄨㄞ
凓,凓,凓,lì,li,4,ㄌㄧ
瀃,瀃,瀃,sì,si,4,ㄙ
饫,飫,饫,yù,yu,4,ㄩ
衃,衃,衃,pēi,pei,1,ㄆㄟ
僊,僊,僊,xiān,xian,1,ㄒㄧㄢ
䌛,䌛,䌛,yáo,yao,2,ㄧㄠ
封,封,封,fēng,feng,1,ㄈㄥ
芲,芲,芲,huā,hua,1,ㄏㄨㄚ
㞼,㞼,㞼,chéng,cheng,2,ㄔㄥ
覂,覂,覂,fěng,feng,3,ㄈㄥ
㗪,㗪,㗪,㗪,㗪,,
餠,餠,餠,bǐng,bing,3,ㄅㄧㄥ
炀,煬,炀,yáng,yang,2,ㄧㄤ
饙,饙,饙,fēn,fen,1,ㄈㄣ
㛞,㛞,㛞,lòng,long,4,ㄌㄨㄥ
㞟,㞟,㞟,diàn,dian,4,ㄉㄧㄢ
靭,靭,靭,rèn,ren,4,ㄖㄣ
緎,緎,緎,yù,yu,4,ㄩ
缅,緬,缅,miǎn,mian,3,ㄇㄧㄢ
㮝,㮝,㮝,hé,he,2,ㄏㄜ
魣,魣,魣,xù,xu,4,ㄒㄩ
洋,洋,洋,yáng,yang,2,ㄧㄤ
鮾,鮾,鮾,něi,nei,3,ㄋㄟ
聖,聖,圣,shèng,sheng,4,ㄕㄥ
岅,岅,岅,bǎn,ban,3,ㄅㄢ
蟥,蟥,蟥,huáng,huang,2,ㄏㄨㄤ
纒,纒,纒,chán,chan,2,ㄔㄢ
灮,灮,灮,guāng,guang,1,ㄍㄨㄤ
鉀,鉀,钾,jiǎ,jia,3,ㄐㄧㄚ
莹,瑩,莹,yíng,ying,2,ㄧㄥ
壗,壗,壗,壗,壗,,
椻,椻,椻,yàn,yan,4,ㄧㄢ
迨,迨,迨,dài,dai,4,ㄉㄞ
䦃,鐯,䦃,䦃,䦃,,
譺,譺,譺,yè,ye,4,ㄧㄝ
鰩,鰩,鳐,yáo,yao,2,ㄧㄠ
谰,讕,谰,lán,lan,2,ㄌㄢ
栿,栿,栿,fú,fu,2,ㄈㄨ
㫍,㫍,㫍,yóu,you,2,ㄧㄡ
㵿,㵿,㵿,xí,xi,2,ㄒㄧ
䔫,䔫,䔫,䔫,䔫,,
鳨,鳨,鳨,lì,li,4,ㄌㄧ
琜,琜,琜,lái,lai,2,ㄌㄞ
計,計,计,jì,ji,4,ㄐㄧ
殇,殤,殇,shāng,shang,1,ㄕㄤ
歏,歏,歏,jìn,jin,4,ㄐㄧㄣ
迗,迗,迗,é,e,2,ㄜ
莨,莨,莨,láng,lang,2,ㄌㄤ
丅,丅,丅,xià,xia,4,ㄒㄧㄚ
迍,迍,迍,zhūn,zhun,1,ㄓㄨㄣ
卷,捲,卷,juàn,juan,4,ㄐㄩㄢ
蔻,蔻,蔻,kòu,kou,4,ㄎㄡ
䈱,䈱,䈱,䈱,䈱,,
䡦,䡦,䡦,sǎng,sang,3,ㄙㄤ
浵,浵,浵,tóng,tong,2,ㄊㄨㄥ
瘶,瘶,瘶,sòu,sou,4,ㄙㄡ
鋌,鋌,铤,tǐng,ting,3,ㄊㄧㄥ
滒,滒,滒,gē,ge,1,ㄍㄜ
蔙,蔙,蔙,xuàn,xuan,4,ㄒㄩㄢ
㘡,㘡,㘡,xiá,xia,2,ㄒㄧㄚ
赻,赻,赻,xiǎn,xian,3,ㄒㄧㄢ
䨦,䨦,䨦,páng,pang,2,ㄆㄤ
䲾,䲾,䲾,qiǎo,qiao,3,ㄑㄧㄠ
旣,旣,旣,jì,ji,4,ㄐㄧ
缢,縊,缢,yì,yi,4,ㄧ
䈪,䈪,䈪,xì,xi,4,ㄒㄧ
恄,恄,恄,xì,xi,4,ㄒㄧ
篑,簣,篑,kùi,kui,4,ㄎㄨㄟ
幓,幓,幓,shān,shan,1,ㄕㄢ
缂,緙,缂,kè,ke,4,ㄎㄜ
脿,脿,脿,biāo,biao,1,ㄅㄧㄠ
㺶,㺶,㺶,㺶,㺶,,
㿹,㿹,㿹,tà,ta,4,ㄊㄚ
斝,斝,斝,jiǎ,jia,3,ㄐㄧㄚ
肚,肚,肚,dù,du,4,ㄉㄨ
靃,靃,靃,huò,huo,4,ㄏㄨㄛ
簶,簶,簶,lù,lu,4,ㄌㄨ
汽,汽,汽,qì,qi,4,ㄑㄧ
眉,眉,眉,méi,mei,2,ㄇㄟ
䯿,䯿,䯿,zú,zu,2,ㄗㄨ
媙,媙,媙,wēi,wei,1,ㄨㄟ
墘,墘,墘,qí,qi,2,ㄑㄧ
㸿,㸿,㸿,dú,du,2,ㄉㄨ
垓,垓,垓,gāi,gai,1,ㄍㄞ
䈔,䈔,䈔,䈔,䈔,,
䌖,䌖,䌖,jié,jie,2,ㄐㄧㄝ
疐,疐,疐,zhì,zhi,4,ㄓ
䫟,䫟,䫟,hún,hun,2,ㄏㄨㄣ
頨,頨,頨,piān,pian,1,ㄆㄧㄢ
摌,摌,摌,chǎn,chan,3,ㄔㄢ
㔯,㔯,㔯,suǎn,suan,3,ㄙㄨㄢ
崞,崞,崞,guō,guo,1,ㄍㄨㄛ
幑,幑,幑,hūi,hui,1,ㄏㄨㄟ
㜝,㜝,㜝,ǎn,an,3,ㄢ
濇,濇,濇,sè,se,4,ㄙㄜ
昦,昦,昦,hào,hao,4,ㄏㄠ
䰣,䰣,䰣,wǎng,wang,3,ㄨㄤ
蜸,蜸,蜸,qiǎn,qian,3,ㄑㄧㄢ
兌,兌,兑,dùi,dui,4,ㄉㄨㄟ
揃,揃,揃,jiān,jian,1,ㄐㄧㄢ
餍,饜,餍,yàn,yan,4,ㄧㄢ
镚,鏰,镚,bèng,beng,4,ㄅㄥ
阹,阹,阹,qū,qu,1,ㄑㄩ
聢,聢,聢,聢,聢,,
賢,賢,贤,xián,xian,2,ㄒㄧㄢ
傄,傄,傄,xiā,xia,1,ㄒㄧㄚ
柘,柘,柘,zhè,zhe,4,ㄓㄜ
凼,氹,凼,dàng,dang,4,ㄉㄤ
饊,饊,馓,sǎn,san,3,ㄙㄢ
呀,呀,呀,yā,ya,1,ㄧㄚ
溻,溻,溻,tà,ta,4,ㄊㄚ
䖥,䖥,䖥,lí,li,2,ㄌㄧ
欪,欪,欪,chù,chu,4,ㄔㄨ
脗,脗,脗,wěn,wen,3,ㄨㄣ
偷,偷,偷,tōu,tou,1,ㄊㄡ
蠽,蠽,蠽,jié,jie,2,ㄐㄧㄝ
䁮,䁮,䁮,qián,qian,2,ㄑㄧㄢ
骺,骺,骺,gòu,gou,4,ㄍㄡ
䌐,䌐,䌐,mì,mi,4,ㄇㄧ
歕,歕,歕,pēn,pen,1,ㄆㄣ
攀,攀,攀,pān,pan,1,ㄆㄢ
襳,襳,襳,xiān,xian,1,ㄒㄧㄢ
㷼,㷼,㷼,yàn,yan,4,ㄧㄢ
蟚,蟚,蟚,péng,peng,2,ㄆㄥ
䆊,䆊,䆊,cùi,cui,4,ㄘㄨㄟ
㕆,㕆,㕆,hù,hu,4,ㄏㄨ
劔,劔,劔,jiàn,jian,4,ㄐㄧㄢ
䱛,䱛,䱛,xù,xu,4,ㄒㄩ
扃,扃,扃,jiōng,jiong,1,ㄐㄩㄥ
㲞,㲞,㲞,zú,zu,2,ㄗㄨ
䅄,䅄,䅄,lì,li,4,ㄌㄧ
釔,釔,钇,yǐ,yi,3,ㄧ
轞,轞,轞,xiàn,xian,4,ㄒㄧㄢ
麻,麻,麻,má,ma,2,ㄇㄚ
鍍,鍍,镀,dù,du,4,ㄉㄨ
术,術,术,zhú,zhu,2,ㄓㄨ
