phrase,english,pinyin,color,comments
隨便,I'm good with whatever,súi biàn,dark-red,
真的嗎,really?,zhēn de ma,teal,
真的假的,for real?,zhēn de jiǎ de,light-grey,
我希望,I hope,wǒ xī wàng,blue,
我懂了,I understand,wǒ dǒng le,dark-grey,
我不懂,I don't understand,wǒ bù dǒng,cyan,
沒事,no worries,méi shì,pink,
沒錯,"that's right, sure",méi cuò,grey,
怎麼了,what's wrong?,zěn me le,dark-grey,
祝你好運,good luck,zhù nǐ hǎo yùn,dark-red,
沒時間,no time,méi shí jiān,hot-pink,
慢慢來,take your time,màn màn lái,cyan,
屁啦,"yeah right, nonsense",pì la,orange,
哇噻,wow,wā sai,hot-pink,
太扯了,so ridiculous,tài chě le,red,
好酷,so cool,hǎo kù,red,
你很煩,you're annoying,nǐ hěn fán,blue,
什麼鬼,what the heck,shí me gǔi,green,
感恩,thank you (feel grateful),gǎn ēn,dark-grey,
好嗨,So happy,hǎo hāi,blue,
我跟你說,I tell you,wǒ gēn nǐ shuō,white,
不會,"no worries, you're welcome, don't mention it",bù hùi,green,
還好,"passable, not bad ",hái hǎo,light-grey,
誰在乎啊,who cares?,shúi zàihū a,light-grey,
那又怎樣,so what?,nà yòu zěn yàng,lime,
纔怪呢,as if,cái guài ne,dark-grey,
鬍說八道,nonsense,hú shuō bā dào,red,
太荒謬了,that's ridiculous,tài huāng mìu le,pink,
省省吧,give me a break,shěng shěng ba,blue,
三小,what the heck,sān xiǎo,lime,
